Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
TPTA.S22IC,2004.12,41138,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2005.12,42561,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2006.12,40817,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2007.12,40636,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2008.12,39002,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2009.12,30735,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2010.12,36090,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2011.12,35141,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2012.12,43476,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2013.12,51117,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
TPTA.S22IC,2014.12,62589,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 1301 to 1600 cc,,,,
